6080,6005,2175,5983,5670,1610,5204,4797,1648,5703,5322,2122,5856
14592,13893,4917,11277,11343,5104,12193,11850,5185,11977,12315,5477,12866
31652,28287,10860,25931,24738,10582,26372,26057,9987,27350,27590,12666,29787
14376,13644,5792,12322,11088,5161,11396,10194,5146,12014,11203,5921,13093
26997,26162,14354,25697,23247,13306,25184,24906,16091,27873,27490,17809,31018
3204,2967,1428,2501,2289,1196,2857,2741,1767,3216,3355,2013,3514
6066,6526,2675,6523,6543,2084,5892,5426,1857,6137,6202,2292,6664
11773,10145,2405,9747,8113,2714,10166,8714,2662,10169,9495,2989,11026
11687,11177,4936,10347,11587,4281,9575,8873,4594,9678,10263,4271,9968
5951,5376,3376,5394,5335,2606,4976,5340,2748,5387,5731,2645,6144
20694,18636,15295,22099,20121,12418,19707,19264,12254,21525,22126,10654,19780
24881,22867,13052,22024,20711,12245,20344,19186,12178,21538,20498,14349,22948
5702,5648,2950,5235,4908,2486,4925,4865,2253,5002,5123,2627,5767
13822,12861,6987,12204,12152,6378,11719,10439,5394,11261,11135,5819,12519
23575,21532,12639,20704,18679,11651,19473,17629,11370,19895,19791,13590,21095
13588,12846,7678,12193,11215,6190,10368,9222,6200,10267,9669,6381,10281
8607,8588,4699,9025,8177,3698,7898,7658,3524,7795,8238,4466,9106
12326,12626,5527,9765,9358,4924,7763,8619,4799,9045,9333,5751,9783
3031,2777,971,2239,2090,895,2205,2405,1116,2610,2371,1305,2743
5898,5520,2591,4670,4135,2229,4360,3818,2191,4262,4118,2820,4918
7393,7223,3139,6507,6040,2780,5921,5503,2805,6224,6073,2931,6570
1852,1968,990,1778,1677,795,1505,1521,753,1577,1564,749,1705
14640,14519,6581,14913,14163,6123,14052,12175,5302,13289,12973,6048,14991
6839,6154,3067,6022,5367,2425,5304,4703,2183,5198,4864,2863,6147
12774,10976,5323,10874,9359,4769,10895,9426,4957,11597,9792,5038,11756
8790,9165,1697,8803,8778,2541,7895,7919,2560,8045,8278,3125,8438
15938,14687,5741,15541,14068,4978,13942,12393,4954,13520,12772,5328,14026
18880,16624,12072,18872,16257,10357,17091,14361,9934,16411,14271,10322,17189
13500,12364,4896,11589,10524,3983,10998,11236,5445,11742,11388,5585,12123
20015,18621,10274,19059,18376,9366,17592,16215,8280,16217,15624,8580,16504
40086,37050,16801,32928,32085,17687,31215,27713,18389,29876,30371,18980,32225
24366,22082,11247,20569,18916,10174,19870,17087,9666,20292,19517,10809,21971
9853,9590,5399,8837,8711,4721,8245,7544,4283,8100,8516,5732,9239
1874,1732,800,1921,1724,1257,1386,1683,1168,1389,1633,1180,1767
9107,8901,3740,9744,9316,3598,9143,7947,3660,8799,8486,4394,10223
16768,13488,10537,16259,13342,8850,13918,11320,8333,13893,11014,8267,13945
25507,24550,9676,22754,22960,9888,20993,21102,10844,22844,24686,11555,25563
23015,21257,9839,21785,19693,8219,18742,16533,7320,18370,17630,7650,18572
6800,5912,2816,5198,5380,2667,5495,4642,2582,5435,5708,2914,6580
17569,16308,9241,15266,14417,7735,14066,13645,7838,13692,14750,9810,15885
13047,12340,6261,11909,11830,5673,10692,10151,5811,10521,10959,6190,11029
17197,16251,2607,15615,14590,4481,13232,11905,4132,12965,12829,4790,13694
13251,10758,4473,8898,8276,4366,10217,7502,3972,9094,7070,4076,8557
9108,7991,2928,7627,7117,2835,7969,7755,3563,8345,8291,3697,8815
15817,15309,8615,14366,13694,8011,13206,12740,7253,13271,13990,8291,15506
19340,18451,9013,16160,15493,7716,14269,13933,7393,15492,15853,8035,17157
9289,8646,3297,8447,7710,2804,7247,6912,3390,7874,8003,4630,9442
11671,10892,4071,9773,9122,3783,9342,9062,4460,10116,10112,5563,11865
20975,20143,9661,19097,17580,7456,17226,15258,7795,17180,16470,8036,18081
7870,7199,3029,5999,5576,2744,5367,5103,2629,5718,5668,2790,6053
15018,14122,6410,12173,11284,5177,10642,9886,4933,11129,11374,5707,13497
18251,17845,7585,16591,15050,6076,14937,14272,6438,16555,15764,7868,17642
3083,2842,1996,2446,3126,1597,2338,3779,1934,2954,4777,2919,3945
10942,10266,4078,9639,8828,3605,8369,8404,2894,9705,9619,2850,10265
9098,8618,4160,8312,8045,3727,7371,6567,3561,6822,6614,3957,7605
2568,2433,1242,1846,1923,1153,1652,1946,1082,1719,2042,1006,2028
25857,23567,11687,24367,21877,11459,23221,20502,11178,23772,21961,13070,26189
9615,8820,3782,8711,7779,3623,8067,7248,3497,7941,7264,3812,8358
6571,5932,1634,5292,5284,1964,5015,5164,1857,5306,5639,2343,6186
4428,4626,1967,3616,3428,1493,3785,3950,1770,4201,4647,1994,4924
13064,11716,6297,11474,10492,6009,10432,9890,5665,11226,11257,6143,12875
7281,6904,2557,6535,6414,2428,6593,6129,2074,6593,6411,2500,6818
15804,15172,7345,14553,13606,6569,13121,12850,6790,12933,13107,7879,14308
8560,7963,4723,6788,6707,3832,6668,6018,3796,6628,6269,3806,7157
19029,17856,9665,16885,14936,9294,15310,16114,9609,16993,15163,10208,17444
8630,8416,3706,7681,7831,3229,7329,6374,2913,6819,7460,3425,7737
14498,13380,9065,14582,13582,7839,12981,11770,7178,12524,12405,8398,14147
10720,9322,4935,9249,8124,3688,7773,7293,3333,9162,9149,3828,10115
40037,35321,35201,34757,32144,33980,33456,31269,34196,35675,33519,35297,38269
17413,16413,7143,15282,14034,5780,15450,14082,7339,16788,16397,8773,19040
5937,5405,2388,5155,4829,2248,4689,4555,1770,4292,4550,1879,4326
11831,10833,4593,10357,9157,3435,8888,8191,3962,9612,9776,4696,11003
15599,15971,12617,12859,11923,10134,9410,8902,6899,9402,10263,7530,10550
9075,12657,9521,9339,12280,9064,8626,11024,8342,8599,7950,7557,8716
20530,19378,6800,18596,17842,6193,17268,15667,5473,17004,16360,5686,17646
7614,7065,3959,7195,6804,3701,6618,6106,3595,6523,6539,4217,7141
4716,3579,270,3926,2813,590,4269,3484,1364,4730,3322,1302,3605
26049,24581,10561,22219,20566,8985,19411,17972,8176,18814,18993,9235,20139
29966,27357,15022,26336,23791,14256,22499,19135,13456,23859,21978,15025,26522
4569,4524,1602,4098,3540,1258,3732,3402,1462,4252,4018,1892,5057
5381,5214,1178,4181,4019,1058,4133,4112,1186,4376,4779,1329,4719
11682,13332,4953,6989,7832,3177,6565,7367,3733,7414,8964,4580,8505
21306,19062,9307,16292,17393,8766,16370,14321,8718,17406,16834,13885,18887
21951,20309,9903,20606,18642,8967,18288,15985,8286,19808,18465,8544,21156
21238,19708,9085,20794,18725,8363,18932,16791,7699,17699,17432,8909,19034
27785,29162,18684,24923,24331,16549,22968,22813,15385,22605,23569,16668,24778
15066,13548,6798,12308,11192,6019,10645,9664,5673,11262,10585,7542,13209
21320,18583,5774,10998,11178,6464,10820,11978,8090,13652,15218,10045,15525
14130,15244,7099,14963,13721,4501,13085,13398,4471,12178,12073,4405,13195
20780,21118,8162,20808,20907,7657,18217,18360,7805,18083,19116,8170,19243
14195,14867,5266,13471,14707,4661,13208,13173,4185,12901,13507,5132,13555
25196,23162,6128,26936,26276,10199,24791,24400,9169,20733,23410,9101,26519
18871,17537,10922,18488,16238,9601,16898,15197,8712,16168,15805,9827,18226
9291,9238,4550,8788,8469,4071,7775,7210,3637,7983,8072,3989,9032
8405,7635,5519,7669,7474,4041,7062,7590,3969,7509,8130,4835,9204
37281,31465,20212,29077,29603,21002,31913,27974,16061,33177,35909,20008,36941
14874,14584,9570,13664,13565,7481,13855,15222,9306,16582,16508,9556,16835
31473,29597,16910,29322,27419,14926,26772,24360,13250,25494,24859,14256,26748
26542,25413,11986,21827,22190,10566,20011,20087,9997,20709,21550,10825,22215
17754,15775,12694,16115,15447,12318,16951,16165,9466,16732,18273,10501,18040
13471,12625,4962,13067,11183,4678,12435,11724,4556,13637,12472,5361,13978
9956,9256,3353,8328,8010,2629,7459,8096,2745,7904,8686,3017,8658
19151,18357,8937,17996,16923,7003,16360,15624,7007,16504,16105,7405,17806
3371,2669,1040,1555,1758,1135,1882,1599,965,1329,1663,997,1860
9052,9180,6427,8932,9348,5271,7969,8922,4932,8533,8666,5703,9433
9541,9024,4795,9461,8419,4286,8298,7836,4115,8423,8295,4460,8868
21043,19852,8579,18340,16759,6959,16770,15402,6967,17540,17626,8456,19638
5144,4498,1736,3546,3875,2177,3692,3165,1618,4043,3311,2422,3975
12988,12460,6468,12110,11303,5442,11162,10005,5505,10764,10012,6775,11689
13523,12252,4726,11005,9411,3609,10821,10046,4722,13185,12989,7298,16272
4327,4332,1634,4318,4011,1549,3979,3296,1370,3148,3166,1584,3690
4732,4493,2172,4074,4077,1678,3841,3727,1987,3902,4200,2265,4245
13941,12857,7613,11769,10691,5774,10121,9433,5936,9228,9488,5934,9955
9849,9617,4648,8207,7871,3978,7906,7172,4188,8016,8094,4651,9283
3865,4265,1914,4059,3758,1748,3385,3506,1492,3649,3816,1576,3816
6233,5697,2808,5615,5388,2642,5344,4903,2577,5540,5493,2802,5851
